,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
17,2,919,Synaptidae,Synaptula,Synaptula,,,0,,BSULA-003-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Lembeh Straights, off Bitung, Angels Window Dive Site","Bitung, Sulawesi",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,9,16,0,0,0,,,20,NA,meters,,,,Holothuroidea
18,2,1409,Synaptidae,Synaptula,Synaptula,,,594,,BSULA-040-2,Pacific Ocean,Indonesia,Sulawesi Island,,"Sulawesi, Inner Part of Small Bay With Small Village",Sulawesi,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,9,23,0,0,0,small bay,,1,7,meters,,,,Holothuroidea
23,2,56,Holothuriidae,Holothuria hawaiiensis,Holothuria,hawaiiensis,,0,,56-4,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Kapalua Bay,Kapalua Bay,NA,NA,NA,NA,80% ethanol,75% ethanol,"Pittman, C.",,1,8,2,0,0,0,,under rock,2,6,meters,,,,Holothuroidea
25,2,2696,Synaptidae,Synaptidae,Synaptidae,,,0,BOMAN-001,GP-Loc-650,Indian Ocean,Oman,,,"Al Bustan Resort, S of Muscat","Al Bustan, Muscat",NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1999,10,29,0,0,0,nearshore rock & coral outcrops,under rocks,0,5,meters,,,,Holothuroidea
26,2,1375,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-002,GP-Loc-651,Indian Ocean,Oman,,,Bandar Kharyan,23.50139°N 58.73250°E,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,10,31,0,0,0,reef slope,under rocks and coral,1,5,meters,,,,Holothuroidea
30,2,1794,Holothuriidae,Holothuria albofusca,Holothuria,albofusca,,0,BOMAN-010,GP-Loc-654,Indian Ocean,Oman,,,"Masirah Island, Ca. 500 Meters from Shore off Southeast Corner of Masirah",Masirah Island,NA,NA,NA,NA,formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,rocky bottom,under rocks,8,12,meters,,,,Holothuroidea
31,2,1960,Sclerodactylidae,Cladolabes bifurcatus,Cladolabes,bifurcatus,,0,BOMAN-012,GP-Loc-655,Indian Ocean,Oman,,,"Masirah Island, Just South of Shaghaf Village, West Masirah",Masirah Island,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,"rubble, rocks and corals",under rocks,6,8,meters,,,,Holothuroidea
32,2,73,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-014,GP-Loc-657,Indian Ocean,Oman,,,"Masirah Island, South-southwest Coast, 1-2 Kilometers N of Camp",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,5,0,0,0,rocky coast,under rocks,NA,NA,,,,,Holothuroidea
33,2,986,Holothuriidae,Labidodemas,Labidodemas,,,0,BOMAN-021,GP-Loc-660,Indian Ocean,Oman,,,"Masirah Island, 2-3 Kilometers Offshore of Southeast Tip of Masirah",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,6,0,0,0,"rocky rubble & sand, few corals",under rocks,11,16,meters,,,,Holothuroidea
34,2,1114,Sclerodactyllidae,Ohshimella ehrenbergii,Ohshimella,ehrenbergii,,0,BOMAN-025,GP-Loc-663,Indian Ocean,Oman,,,"Masirah Island, offshore Rocky Outcrops off Southwest Coast",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,7,0,0,0,fore reef and backreef,under rocks,0,5,meters,,,,Holothuroidea
35,2,4079,Cucumariidae,Trachasina crucifera,Trachasina,crucifera,,0,BOMAN-027,GP-Loc-665,Indian Ocean,Oman,,,"Masirah Island, 2 to 4 km S of SE Tip of Island",Masirah Island,NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,1999,11,8,0,0,0,coarse sand and rocks,,20,22,meters,,,,Holothuroidea
36,2,1985,Holothuriidae,Holothuria insignis,Holothuria,insignis,,0,BOMAN-034,GP-Loc-669,Indian Ocean,Oman,,,"Masirah Island, Oyster Islands off W Masirah",Masirah Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,11,0,0,0,"rocks, coral and sand",,0,6,meters,,,,Holothuroidea
49,2,11092,Synaptidae,Synapta maculata,Synapta,maculata,,985,X056,ZZZ-024286,,France,Mascarene Islands,Reunion Island,,St Gilles,NA,NA,NA,NA,,75% ethanol,"Thierry Hoareau, Emilie Boissin",,2011,8,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
59,2,5951,Holothuriidae,Holothuria glaberrima,Holothuria,glaberrima,,503,,R-0129,,Honduras,Islas de la Bahia Dept.,,"Bay Islands, Guanaja Island","Bay Islands, Guanaja Island",NA,NA,NA,NA,,75% ethanol,E. H. Vokes & H. E. Vokes,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
61,2,7112,Holothuriidae,Holothuria hilla,Holothuria,hilla,,800,,ZZZ-073307,,USA,Hawaiian Islands,Oahu Island,Kaneohe Bay,Kaneohe Bay,NA,NA,NA,NA,,75% ethanol,Sea McKeon,,2008,7,NA,0,0,NA,,,NA,NA,,,,,Holothuroidea
65,2,13264,Holothuriidae,Holothuria edulis,Holothuria,edulis,aff.,NA,,ZZZ-076087,,Republic of the Marshall Islands,Marshall Islands,Majuro Atoll,Majuro,Majuro,NA,NA,NA,NA,ethanol,75% ethanol,John Starmer,,2012,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
66,2,1748,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-006,Pacific Ocean,New Caledonia,New Caledonia,,"0.5 km N of Passe de Boulari, near Noumea",Noumea,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,13,0,0,0,outer reef slope,under rocks,8,18,meters,,,,Holothuroidea
67,2,2002,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-008,Pacific Ocean,New Caledonia,New Caledonia,,"N side of Passe de Boulari, near Noumea",Noumea,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,14,0,0,0,"patch reef, shoal",under rocks,2,14,meters,,,,Holothuroidea
68,2,975,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,cf.,0,,BNEC-009,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Ile Nou, Anse Kuendo","Ile Nou, Noumea",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,26,0,0,0,"sand and reef slope, fringing rock",under rocks,0,3,meters,,,,Holothuroidea
69,2,2022,Sclerodactylidae,Afrocucumis africana,Afrocucumis,africana,,594,,BNEC-010,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, SE tip, SE of Mount Toro","Mount Toro, Noumea",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,25,0,0,0,fringing reef flat and slope,under rocks,0,3,meters,,,,Holothuroidea
71,2,1952,Chiridotidae,Polycheira rufescens,Polycheira,rufescens,,594,,BNEC-012,Pacific Ocean,New Caledonia,New Caledonia,,"Baie de Prony, at Prony",Baie de Prony,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,29,0,0,0,intertidal,under rocks,NA,NA,,,,,Holothuroidea
72,2,2355,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-015,Pacific Ocean,New Caledonia,New Caledonia,,"Baie de Prony, just on opposite side to a little N of Prony",Baie de Prony,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,24,0,0,0,fringing reef,,0,6,meters,,,,Holothuroidea
73,2,2005,Sclerodactylidae,Afrocucumis africana,Afrocucumis,africana,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron","Baie des Citrons, Noumea",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
82,2,1569,Holothuriidae,Holothuria olivacea,Holothuria,olivacea,,673,,BTAI-001,,China,Taiwan,,"S Taiwan, Kenting Area, Shiangjianwan","Kenting, Taiwan",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,10,28,0,0,0,fore reef of nearshore fringing reef,under rocks,3,8,meters,,,,Holothuroidea
83,2,1570,Synaptidae,Opheodesoma grisea,Opheodesoma,grisea,?,0,,BTAI-013,,China,Taiwan,,"S Taiwan, Kenting Area, Houpinu","Kenting, Taiwan",NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,10,28,0,0,0,rock and reef slope,,2,6,meters,,,,Holothuroidea
85,2,2473,,Dendrochirotida,Dendrochirotida,,,673,,BTAI-021,,China,Taiwan,,"N Taiwan, Tahsi Port",Taiwan,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,11,3,0,0,0,,,NA,NA,,,,,Holothuroidea
105,2,326,Holothuriidae,Holothuria leucospilota,Holothuria,leucospilota,,0,,BRNG-045,Pacific Ocean,French Polynesia,Tuamotu Islands,Rangiroa Atoll,Hoa at E end of Tiputa and reef flat,"Tiputa, Rangiroa",NA,NA,NA,NA,,75% ethanol,"Meyer, C. P.",,2001,10,26,0,0,0,reef flat,under rocks,NA,NA,,,,,Holothuroidea
124,2,621,Chiridotidae,Chiridota,Chiridota,,,0,,BTIK-008,Pacific Ocean,French Polynesia,Tuamotu Islands,Tikehau Atoll,"Hoa at E end of Tuaherahera Motu and adjacent outer reef flat SE of Hoa, just off Ohotu Motu",Tuherahera,NA,NA,NA,NA,,95% ethanol,"Paulay, G.",,2001,7,10,0,0,0,outer reef flat and hoa entrance,under rocks,NA,NA,,,,,Holothuroidea
184,2,685,Stichopodidae,Stichopus horrens,Stichopus,horrens,?,617,,LAK-016B,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Dennis Reef, Directly Offshore of Chinese Embassy",Chinese Embassy,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L. & Bonito, V.",,2001,11,10,0,0,0,patch reef,under rocks,2,3,meters,,juvenile,,Holothuroidea
191,2,453,Stichopodidae,Stichopus horrens,Stichopus,horrens,,617,,LAK-016D,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Dennis Reef, Directly Offshore of Chinese Embassy, Alongside Channel in Suva Harbor",Chinese Embassy,NA,NA,NA,NA,,95% ethanol,Victor Bonito,,2001,11,10,0,0,0,,in rock,2,3,meters,,,,Holothuroidea
193,2,682,Holothuriidae,Labidodemas semperianum,Labidodemas,semperianum,,617,,LAK-019A,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,Along The West side of Mbusa Channel,Viti Levu,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,2001,10,26,0,0,0,,"under rock, in sand",12,15,meters,,,,Holothuroidea
212,2,1856,Holothuriidae,Holothuria lineata,Holothuria,lineata,,0,,GP-Loc-566,Pacific Ocean,Papua New Guinea,Milne Bay Province,,Louisiade Archipelago,Louisiade Archipelago,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1998,6,3,0,0,0,inner end of barrier reef,under rock,1,NA,meters,,,,Holothuroidea
213,2,1329,Holothuriidae,Actinopyga lecanora,Actinopyga,lecanora,,594,,GP-Loc-570,Pacific Ocean,Papua New Guinea,Milne Bay Province,,"Louisiade Archipelago, East Tip of Long Reef",Louisiade Archipelago,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1998,6,5,0,0,0,forereef cave,,NA,NA,,,,,Holothuroidea
214,2,11148,Stichopodidae,Stichopus ocellatus,Stichopus,ocellatus,,594,,GP-Loc-573,Pacific Ocean,Papua New Guinea,Milne Bay Province,,Alotau,Alotau,NA,NA,NA,NA,ethanol,75% ethanol,Gustav Paulay,,1998,6,7,0,0,0,fringing reef,,2,3,meters,,,,Holothuroidea
215,2,1320,Holothuriidae,Holothuria coluber,Holothuria,coluber,,0,,GP-Loc-607,Pacific Ocean,Palau,,,Malakal Sewer Outfall,,NA,NA,NA,NA,,dry,"Paulay, G.",,1999,7,26,0,0,0,,,NA,NA,,,,,Holothuroidea
221,2,608,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,BRNG-027-2,Pacific Ocean,French Polynesia,Tuamotu Islands,Rangiroa Atoll,mid S Rim of Atoll,Rangiroa,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2001,12,10,0,0,0,lagoonal reef flat,under rocks,0,2,meters,,,,Holothuroidea
222,2,2357,Synaptidae,Opheodesoma,Opheodesoma,,,594,,BPAL-059,Pacific Ocean,Palau,,,SW Tip of Uchelbeluu Reef,Uchelbeluu Reef,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1996,5,28,0,0,0,short dropoff,on sponge,15,NA,meters,,,,Holothuroidea
223,2,2715,Cucumariidae,Plesiocolochirus,Plesiocolochirus,,,594,,BPAL-073,Pacific Ocean,Palau,,,"Ngeruktabel Island, near Kesebekuu Channel, entrance to Diego Tunnel",Ngeruktabel Island,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1996,5,24,0,0,0,,,1,NA,meters,,,,Holothuroidea
224,2,1647,Holothuriidae,Holothuria,Holothuria,,,594,,BTON-030,Pacific Ocean,Tonga,Tonga Islands,,"Haapai, N end of Haano Island",Haapai,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1996,11,11,0,0,0,moat,,0.5,1.5,meters,,,,Holothuroidea
227,2,1347,Holothuriidae,Holothuria arenicola,Holothuria,arenicola,,594,,BMAUI-011,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Ahihi Kinau Preserve,Ahihi Kinau,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1997,10,31,0,0,0,,,12,25,meters,,,,Holothuroidea
228,2,4600,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,0,,LAK-071,Indian Ocean,Australia,Christmas Island,Christmas Island,"Christmas Island, N Coast, 0.2 km E of Thundercliff Cave, Just Outside of Thunderdome Cave",Christmas Island,NA,NA,NA,NA,,80% ethanol,"Kirkendale, L.",,1999,12,3,0,0,0,,among limestone rocks/rubble,5,10,meters,,,,Holothuroidea
229,2,691,Sclerodactylidae,Afrocucumis africana,Afrocucumis,africana,?,0,,LAK-077A,Indian Ocean,Australia,Christmas Island,Christmas Island,"Christmas Island, E Coast, 1 km N of Lily Beach, Ethel Beach",Christmas Island,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",snorkel,1999,12,29,0,0,0,on shallow section of forereef,under rubble,1,2,meters,,,,Holothuroidea
232,2,4007,Holothuriidae,Holothuria atra,Holothuria,atra,,0,,LAK-081,Indian Ocean,Australia,Cocos-Keeling Island,Cocos-Keeling Island,"West Island, West Coast, Midway up Island on Outside of Atoll, Trannies Beach",Trannies Beach,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,1999,12,5,0,0,0,,under dead limestone rock/rubble,0,1,meters,,,,Holothuroidea
233,2,8888,,Holothuroidea,Holothuroidea,,,648,C-21,LAK-089,Indian Ocean,Australia,Cocos-Keeling Island,Cocos-Keeling Island,behind West Island Lodge,West Island,NA,NA,NA,NA,,75% ethanol,Lisa Kirkendale,,1999,12,6,0,0,0,reef flat,exposed on dead coral rocks/rubble,0,1,meters,,night collected,,Holothuroidea
234,5,269,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,0,,LAK-102,Indian Ocean,Australia,Cocos-Keeling Island,Cocos-Keeling Island,"Wester/tip of Direction Island, Bends Around into Lagoon",Direction island,NA,NA,NA,NA,95% ethanol,95% ethanol,"Kirkendale, L.",,1999,12,9,0,0,0,,,0,3,meters,,,,Holothuroidea
235,2,3644,Holothuriidae,Holothuria edulis,Holothuria,edulis,,594,,LAK-103,Indian Ocean,Australia,Cocos-Keeling Island,Cocos-Keeling Island,"just West/offshore of Direction Island, approximately 100 m from ""Overhang Cave""",Direction island,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,1999,12,9,0,0,0,,,NA,NA,,,,,Holothuroidea
246,2,949,Chiridotidae,Polycheira rufescens,Polycheira,rufescens,,0,,BYAP-002,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,E Maap Island,Maap,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,4,NA,0,0,NA,high intertidal,under rocks and plant debris,NA,NA,,,,,Holothuroidea
247,2,930,Synaptidae,Synaptula,Synaptula,,,0,,BYAP-006,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap Island,Tomil Docks,Tomil,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,2000,4,5,0,0,0,,on wharf wall,NA,NA,,,,,Holothuroidea
254,2,989,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,594,,BFIJI-422,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"Coast, 80 km W of Suva, Man Friday Resort",Man Friday Resort,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1989,2,2,0,0,0,"fringing reef, near shore",,0,2,meters,,,,Holothuroidea
255,2,981,Holothuriidae,Holothuria coluber,Holothuria,coluber,,594,,BFIJI-456,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,Suva Pt.,Suva Point,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1989,2,9,0,0,0,fringing sand flat,under rock,0,20,meters,,,,Holothuroidea
257,2,955,Holothuriidae,Holothuria flavomaculata,Holothuria,flavomaculata,,594,,BFIJI-389,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,in passage at Vatukarasa Village,Vatukarasa,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1988,12,26,0,0,0,,underside of rock,4,6,meters,,half broken,,Holothuroidea
260,2,941,Stichopodidae,Stichopus,Stichopus,,,594,,GP-Loc-572,Pacific Ocean,Papua New Guinea,Milne Bay Province,,"Louisiade Archipelago, Taodovu Reef",Taodovu Reef,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1998,6,6,0,0,0,,,NA,NA,,,,,Holothuroidea
261,2,987,Holothuriidae,Holothuria scabra,Holothuria,scabra,,594,,HFIJI-014,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,Southwest Shore at Seashell Cove Resort,Seashell Cove Resort,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1982,9,23,0,0,0,,,NA,NA,,,,,Holothuroidea
262,2,995,Holothuriidae,Actinopyga,Actinopyga,,,594,,HFIJI-015,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,Southwest Coast at Seashell Cove Resort,Seashell Cove Resort,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1982,9,25,0,0,0,"seagrass bed, mud flat",,NA,NA,,,,,Holothuroidea
263,2,935,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,0,,HMAK-001,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,near Taunganui Landing,,NA,NA,NA,NA,,75% ethanol,"McCormack, G.",,1984,11,26,0,0,0,,"under rock, exposed on sand",20,NA,meters,,,,Holothuroidea
264,2,966,Chiridotidae,Chiridota,Chiridota,,,0,,HMAK-011,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,off Taunganui,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1986,12,12,0,0,0,,under rock,14,18,meters,,,,Holothuroidea
265,2,976,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,HMAK-015-2,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,off Uriaata Landing,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,26,0,0,0,on reef,buried in sand pocket,NA,NA,,,,,Holothuroidea
277,2,948,Holothuriidae,Actinopyga obesa,Actinopyga,obesa,aff,0,,ZZZ-086910,Indian Ocean,Oman,,,Al Fahd Island,Jazirat al Fahl,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,26,0,0,0,,,10,NA,meters,,,,Holothuroidea
278,2,928,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,ZZZ-086915,Pacific Ocean,French Polynesia,Austral Islands,Rimatara Island,E side,Rimatara Island,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1983,2,8,0,0,0,fringing reef,,NA,NA,,,,,Holothuroidea
279,2,983,Holothuriidae,Holothuria leucospilota,Holothuria,leucospilota,,0,,ZZZ-086916,Pacific Ocean,French Polynesia,Austral Islands,Rimatara Island,off Amaru,Amaru,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1983,2,10,0,0,0,"outer reef slope, in surf zone",,NA,NA,,,,,Holothuroidea
287,2,945,Synaptidae,Euapta tahitiensis,Euapta,tahitiensis,,0,,ZZZ-086975,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Five Graves,,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",,2000,10,23,0,0,0,algae wash,,0,17,feet,,,,Holothuroidea
288,2,958,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,0,,ZZZ-086977,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Hekili Point,Hekili Point,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",,1999,11,24,0,0,0,,,NA,NA,,,,,Holothuroidea
294,2,932,Holothuriidae,Holothuria pittman sp. 2,Holothuria,sp. (Pittman sp. 2),,0,,ZZZ-086982,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Malico Bay,Malico Bay,NA,NA,NA,NA,,75% ethanol,"Pittman, C.",,2000,10,8,0,0,0,,,NA,NA,,,,,Holothuroidea
295,2,940,Holothuriidae,Holothuria verrucosa,Holothuria,verrucosa,,0,,ZZZ-086984,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Napili Bay,Napili Bay,NA,NA,NA,NA,,75% ethanol,"Pittman, C.",,1998,11,13,0,0,0,tide pool,under rock,NA,NA,,,,,Holothuroidea
297,2,933,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,ZZZ-086985,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,"Oahu, Kaneohe Bay","Oahu, Kaneohe Bay",NA,NA,NA,NA,,75% ethanol,"Pittman, C.",,2000,10,1,0,0,0,,on rubble,1,NA,meters,,,,Holothuroidea
